epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,64901.8,1.0637,0.78124,1.5207,0.76823,0.8242,0.83783,0.52093,1.35442,0.68289,2.02923,0.000286083,0.000286083,0.000286083
77,65912.3,1.05303,0.77968,1.50615,0.74366,0.87767,0.84089,0.52709,1.34012,0.67732,2.0237,0.000275084,0.000275084,0.000275084
78,66928.6,1.05738,0.77349,1.50845,0.71724,0.88151,0.82815,0.5178,1.34757,0.66617,2.02423,0.000264085,0.000264085,0.000264085
79,67945.3,1.05532,0.75641,1.50737,0.76721,0.84718,0.84386,0.52857,1.3415,0.65757,2.01908,0.000253086,0.000253086,0.000253086
80,68980.9,1.05876,0.76475,1.50897,0.79051,0.80603,0.8317,0.51752,1.36508,0.65835,2.03806,0.000242087,0.000242087,0.000242087
81,69999.2,1.03247,0.7507,1.4896,0.77864,0.79894,0.82883,0.51754,1.37318,0.66899,2.0539,0.000231088,0.000231088,0.000231088
82,71018,1.04351,0.76679,1.50457,0.78012,0.85962,0.86088,0.5378,1.34003,0.64146,2.02149,0.000220089,0.000220089,0.000220089
83,72031,1.03313,0.76794,1.5015,0.81359,0.81729,0.86005,0.53549,1.37126,0.65507,2.05108,0.00020909,0.00020909,0.00020909
84,73040.6,1.02249,0.75405,1.4849,0.84561,0.8195,0.86573,0.54104,1.33558,0.63557,2.02591,0.000198091,0.000198091,0.000198091
85,74051.8,1.03472,0.74041,1.48947,0.78741,0.85956,0.85524,0.53576,1.34946,0.64781,2.03414,0.000187092,0.000187092,0.000187092
86,75144.4,1.03152,0.73498,1.48947,0.78149,0.83299,0.83807,0.52609,1.34958,0.6606,2.03182,0.000176094,0.000176094,0.000176094
87,76264.6,1.02822,0.73608,1.47943,0.78094,0.88368,0.85146,0.5351,1.35084,0.65278,2.03423,0.000165095,0.000165095,0.000165095
88,77399.3,1.02482,0.73592,1.48505,0.80273,0.86851,0.8547,0.53643,1.3637,0.65344,2.04963,0.000154096,0.000154096,0.000154096
89,78534.7,1.02418,0.72735,1.4828,0.79879,0.84596,0.84777,0.5325,1.35976,0.64249,2.0407,0.000143097,0.000143097,0.000143097
90,79653.7,1.01131,0.73956,1.47713,0.77407,0.89812,0.85457,0.5407,1.34547,0.63074,2.03365,0.000132098,0.000132098,0.000132098
91,80784.2,0.97271,0.54599,1.68213,0.78244,0.83768,0.85697,0.53425,1.33763,0.66907,2.01983,0.000121099,0.000121099,0.000121099
92,81923.3,0.95394,0.51279,1.66711,0.77416,0.88906,0.85838,0.5361,1.33127,0.64483,2.02357,0.0001101,0.0001101,0.0001101
93,83069,0.94629,0.50712,1.66416,0.78399,0.84918,0.84826,0.53232,1.333,0.6547,2.03777,9.91012e-05,9.91012e-05,9.91012e-05
94,84200.2,0.94841,0.49791,1.66002,0.77269,0.88898,0.85828,0.53527,1.33669,0.64343,2.0321,8.81023e-05,8.81023e-05,8.81023e-05
95,85180.1,0.92888,0.49372,1.65067,0.81439,0.85217,0.85987,0.53072,1.33338,0.64247,2.03609,7.71034e-05,7.71034e-05,7.71034e-05
96,85951.3,0.93399,0.48567,1.65746,0.80429,0.85982,0.85289,0.52684,1.34075,0.64423,2.04243,6.61045e-05,6.61045e-05,6.61045e-05
97,86728.5,0.92847,0.49341,1.64925,0.79536,0.84325,0.84998,0.52769,1.34462,0.64833,2.04572,5.51056e-05,5.51056e-05,5.51056e-05
98,87507.7,0.92085,0.4857,1.65161,0.79028,0.85009,0.85649,0.53167,1.33511,0.63929,2.03786,4.41067e-05,4.41067e-05,4.41067e-05
99,88289.4,0.92384,0.4828,1.64342,0.80095,0.8467,0.85348,0.53274,1.33337,0.64441,2.03538,3.31078e-05,3.31078e-05,3.31078e-05
100,89068.4,0.90971,0.4856,1.64058,0.80408,0.83677,0.85127,0.53289,1.33456,0.6406,2.03727,2.21089e-05,2.21089e-05,2.21089e-05
